Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2023-05-05,,,payment_transaction,UPI,m***@paytm,,,,INR,,649.0,SALE,DECLINED,,IN,
2023-05-03,2023-05-04,2023-06-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,NEW,REVERSAL,IN,2023-06-04
2023-05-03,2023-05-04,2023-06-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,DECLINED,REVERSAL,IN,2023-06-04
2023-05-03,2023-05-04,2023-06-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,PENDING,REVERSAL,IN,2023-06-04
2023-05-03,,,payment_transaction,UPI,m***@paytm,,,,INR,,649.0,SALE,NEW,,IN,
2023-05-03,,,payment_transaction,UPI,m***@paytm,,,,INR,,649.0,SALE,DECLINED,,IN,
2023-05-03,,,payment_transaction,UPI,m***@paytm,,,,INR,,649.0,SALE,PENDING,,IN,
2023-04-29,,,payment_transaction,UPI,m***@paytm,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2023-04-03,,,payment_transaction,UPI,m***@paytm,,,,INR,,649.0,SALE,APPROVED,,IN,
2023-04-03,,,payment_transaction,UPI,m***@paytm,,,,INR,,649.0,SALE,PENDING,,IN,
2023-04-03,2023-04-04,2023-05-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,NEW,SETTLED,IN,2023-05-04
2023-04-03,,,payment_transaction,UPI,m***@paytm,,,,INR,,649.0,SALE,NEW,,IN,
2023-04-03,2023-04-04,2023-05-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,APPROVED,SETTLED,IN,2023-05-04
2023-04-03,2023-04-04,2023-05-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,SALE,PENDING,SETTLED,IN,2023-05-04
2023-03-31,,,payment_transaction,UPI,m***@paytm,,,,INR,,649.0,INIT_SALE,APPROVED,,IN,
2023-03-30,,,payment_transaction,UPI,m***@paytm,,,,INR,,649.0,INIT_SALE,NEW,,IN,
2023-03-03,2023-03-04,2023-04-03,SUBSCRIPTION,VISA,0914,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,NEW,REVERSAL,IN,2023-04-04
2023-03-03,2023-03-04,2023-04-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,CAPTURE,APPROVED,RECOVERY,IN,2023-04-04
2023-03-03,,,payment_transaction,CC,0914,,,,INR,,649.0,SALE,NEW,,IN,
2023-03-03,,,payment_transaction,UPI,m***@paytm,,,,INR,,649.0,CHARGE,PENDING,,IN,
2023-03-03,2023-03-04,2023-04-03,SUBSCRIPTION,VISA,0914,,BILLDESK-SI-HUB,649.0,INR,99.0,649.0,SALE,DECLINED,REVERSAL,IN,2023-04-04
2023-03-03,,,payment_transaction,CC,0914,,,,INR,,649.0,SALE,DECLINED,,IN,
2023-03-03,2023-03-04,2023-04-03,SUBSCRIPTION,UPI,,,ADYEN-UPI,649.0,INR,99.0,649.0,CHARGE,APPROVED,RECOVERY,IN,2023-04-04
